GC name:G1 Young Generation
GC name:G1 Old Generation
new size:2000000
start:3280 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:344003 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:344401 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:344810 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:345210 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:345614 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(35 ms)
start:346021 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:346429 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:346848 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:347255 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:347682 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:348118 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:348155 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:348592 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:349010 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:349415 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:349872 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:350186 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(28 ms)
start:350594 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:351006 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:351406 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:351819 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:352221 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:352638 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:353039 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:353443 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:353853 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:354257 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:354674 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:355075 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:355488 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:355942 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:355977 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(35 ms)
start:356421 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:356828 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:357230 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:357697 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:358013 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:358410 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:358446 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:358861 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:359268 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:359682 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:360079 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:360479 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:360889 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:361287 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:361733 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:362134 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:362560 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:362966 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:363376 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:363869 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:364271 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:364686 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:365141 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:365555 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:365939 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(30 ms)
start:366325 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:366742 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(17 ms)
start:367144 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:367551 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:367958 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:368361 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:368769 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:369168 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:369576 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:369984 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:370395 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:370804 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:371213 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:371683 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:371719 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(50 ms)
start:372170 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:372590 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:372990 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:373474 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:373816 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:374213 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:374619 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:375022 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:375416 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:375836 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:376242 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:376650 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:377055 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:377454 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:377874 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:378283 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:378695 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:379106 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:379558 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:379592 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(36 ms)
start:380022 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(11 ms)
start:380423 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:380831 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(26 ms)
start:381266 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:381606 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(30 ms)
start:381986 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:382385 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(17 ms)
start:382796 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:383183 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:383624 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(36 ms)
start:384028 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:384426 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:384859 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:385265 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:385674 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:386070 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:386472 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:386889 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:387334 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:387368 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(38 ms)
start:387826 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:388229 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:388634 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(28 ms)
start:389081 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:389414 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:389820 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(12 ms)
start:390218 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:390626 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(27 ms)
start:391024 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:391419 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:391832 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:392230 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:392637 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(33 ms)
start:393037 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:393439 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:393851 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:394253 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:394665 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:395098 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:395134 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(35 ms)
start:395578 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(11 ms)
start:395980 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:396380 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:396836 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:397154 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Humongous Allocation(29 ms)
start:397531 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(13 ms)
start:397941 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(18 ms)
start:398344 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(24 ms)
start:398744 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:399141 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:399551 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(30 ms)
start:399954 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:400358 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:400765 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:401161 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:401569 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:401975 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(31 ms)
start:402379 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(32 ms)
start:402849 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
start:402886 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(39 ms)
start:403325 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(11 ms)
start:403748 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(19 ms)
start:404157 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(25 ms)
start:404610 Name:G1 Young Generation, action:end of minor GC, gcCause:G1 Evacuation Pause(34 ms)
time:404
